all purpose flour,127
almonds,150
apricot jam,330
baking powder,200
bicarbonate of soda,200
biscuit crumbs,100
breadcrumbs (dry),120
breadcrumbs (fresh),60
break flower,144
brown sugar,200
butter,230
buttermilk,242
cake flour,137
canola oil,228
castor sugar,210
cherries,160
chocolate chips,169
cocoa powder,127
coconut,80
corn flour,120
cream cheese,250
crystalised ginger,168
currants,150
custard powder,130
"dates, whole",150
desiccated coconut,80
dried apple rings,100
dried apricots,330
flour,127
gelatine,150
golden syrup,350
grated cheddar,100
grated cheese,100
honey,359
icing sugar,130
instant coffee,70
macaroni,110
margarine,230
mayonnaise,243
milk,258
oil,237
olive oil,225
peanuts,150
pecan nuts,100
raisins – seedless,150
rice,200
rolled oats,90
salt,280
self raising flour,140
spaghetti,100
sugar,200
sultanas,150
sunflower oil,232
vinegar,243
walnuts,100
water,250
whole wheat flour,130
